fastq.gz,site.year.plot,plot,CanolaLine,year,site,site.short,Yield.kg.ha
NA,B.2015.102,102,NAM-79,2015,Beaverlodge,B,187.5
NA,B.2015.103,103,NAM-87,2015,Beaverlodge,B,1412.5
NA,B.2015.104,104,NAM-34,2015,Beaverlodge,B,166.6666667
NA,B.2015.105,105,NAM-43,2015,Beaverlodge,B,765.2777778
NA,B.2015.106,106,NAM-71,2015,Beaverlodge,B,802.7777778
NA,B.2015.107,107,NAM-12,2015,Beaverlodge,B,1715.277778
NA,B.2015.108,108,NAM-9,2015,Beaverlodge,B,930.5555556
NA,B.2015.109,109,NAM-78,2015,Beaverlodge,B,1798.611111
NA,B.2015.110,110,NAM-86,2015,Beaverlodge,B,209.7222222
NA,B.2015.111,111,NAM-36,2015,Beaverlodge,B,287.5
NA,B.2015.112,112,NAM-15,2015,Beaverlodge,B,2347.222222
NA,B.2015.113,113,NAM-23,2015,Beaverlodge,B,1925
NA,B.2015.114,114,NAM-85,2015,Beaverlodge,B,812.5
NA,B.2015.115,115,NAM-56,2015,Beaverlodge,B,1127.777778
NA,B.2015.116,116,NAM-45,2015,Beaverlodge,B,350
NA,B.2015.117,117,NAM-47,2015,Beaverlodge,B,551.3888889
NA,B.2015.118,118,NAM-83,2015,Beaverlodge,B,472.2222222
NA,B.2015.119,119,NAM-40,2015,Beaverlodge,B,1675
NA,B.2015.120,120,NAM-25,2015,Beaverlodge,B,1522.222222
NA,B.2015.121,121,NAM-17,2015,Beaverlodge,B,1343.055556
NA,B.2015.122,122,NAM-82,2015,Beaverlodge,B,991.6666667
NA,B.2015.123,123,NAM-75,2015,Beaverlodge,B,2502.777778
NA,B.2015.124,124,NAM-51,2015,Beaverlodge,B,1648.611111
NA,B.2015.125,125,NAM-0,2015,Beaverlodge,B,2316.666667
NA,B.2015.126,126,NAM-73,2015,Beaverlodge,B,2818.055556
NA,B.2015.127,127,NAM-88,2015,Beaverlodge,B,2379.166667
NA,B.2015.128,128,Q2,2015,Beaverlodge,B,2109.722222
NA,B.2015.129,129,NAM-50,2015,Beaverlodge,B,1001.388889
NA,B.2015.130,130,NAM-10,2015,Beaverlodge,B,2801.388889
NA,B.2015.201,201,NAM-76,2015,Beaverlodge,B,2093.055556
NA,B.2015.202,202,NAM-39,2015,Beaverlodge,B,1245.833333
NA,B.2015.203,203,NAM-28,2015,Beaverlodge,B,1954.166667
NA,B.2015.204,204,NAM-8,2015,Beaverlodge,B,1887.5
NA,B.2015.205,205,NAM-72,2015,Beaverlodge,B,1477.777778
NA,B.2015.206,206,NAM-38,2015,Beaverlodge,B,2302.777778
NA,B.2015.208,208,NAM-37,2015,Beaverlodge,B,1506.944444
NA,B.2015.209,209,NAM-31,2015,Beaverlodge,B,1915.277778
NA,B.2015.210,210,NAM-66,2015,Beaverlodge,B,379.1666667
NA,B.2015.211,211,NAM-48,2015,Beaverlodge,B,2261.111111
NA,B.2015.212,212,NAM-42,2015,Beaverlodge,B,2073.611111
NA,B.2015.213,213,NAM-49,2015,Beaverlodge,B,1716.666667
NA,B.2015.214,214,NAM-1,2015,Beaverlodge,B,1715.277778
NA,B.2015.215,215,NAM-30,2015,Beaverlodge,B,1930.555556
NA,B.2015.216,216,NAM-26,2015,Beaverlodge,B,1655.555556
NA,B.2015.217,217,NAM-46,2015,Beaverlodge,B,1225
NA,B.2015.218,218,NAM-14,2015,Beaverlodge,B,1763.888889
NA,B.2015.219,219,NAM-53,2015,Beaverlodge,B,1195.833333
NA,B.2015.220,220,NAM-65,2015,Beaverlodge,B,2208.333333
NA,B.2015.222,222,NAM-29,2015,Beaverlodge,B,602.7777778
NA,B.2015.223,223,NAM-57,2015,Beaverlodge,B,NA
NA,B.2015.224,224,NAM-5,2015,Beaverlodge,B,1384.722222
NA,B.2015.225,225,NAM-4,2015,Beaverlodge,B,2251.388889
NA,B.2015.227,227,NAM-13,2015,Beaverlodge,B,2050
NA,B.2015.228,228,NAM-68,2015,Beaverlodge,B,2069.444444
